name,type,brand,category,unit
Fun Foods Dairy 163g,Dairy,Fun Foods,Electronics,g
Square Tea 342g,Tea,Square,Grocery,ml
Radhuni Refrigerator 499g,Refrigerator,Radhuni,Electronics,pack
ACI Cool Noodles 4g,Noodles,ACI Cool,Clothing,pack
Teer Food 237g,Food,Teer,Stationery,liter
Teer Juice 140g,Juice,Teer,Electronics,kg
Singer Juice 87g,Juice,Singer,Personal Care,pack
Singer Rice 279g,Rice,Singer,Grocery,g
Nihar Spice 174g,Spice,Nihar,Home Appliances,kg
Fun Foods Sugar 32g,Sugar,Fun Foods,Drinks,g
Dettol Juice 98g,Juice,Dettol,Bakery,ml
Dettol Coffee 133g,Coffee,Dettol,Drinks,liter
Closeup Flour 342g,Flour,Closeup,Electronics,kg
Square Coffee 9g,Coffee,Square,Dairy,liter
Teer Tea 32g,Tea,Teer,Clothing,pack
Teer Beverage 61g,Beverage,Teer,Spices,ml
Unilever Soap 71g,Soap,Unilever,Spices,liter
Closeup Lentils 377g,Lentils,Closeup,Home Appliances,kg
Teer Coffee 156g,Coffee,Teer,Dairy,pack
Dettol Noodles 302g,Noodles,Dettol,Personal Care,g
Walton Spice 464g,Spice,Walton,Electronics,ml
Pran Coffee 293g,Coffee,Pran,Clothing,piece
ACI Dairy 28g,Dairy,ACI,Grocery,ml
Dettol Sugar 81g,Sugar,Dettol,Cooking Oil,pack
Radhuni Food 305g,Food,Radhuni,Home Appliances,kg
Dettol Biscuits 207g,Biscuits,Dettol,Home Appliances,kg
Closeup Juice 283g,Juice,Closeup,Cooking Oil,piece
Dettol Detergent 204g,Detergent,Dettol,Cooking Oil,kg
Teer Flour 306g,Flour,Teer,Bakery,kg
Fun Foods Oil 282g,Oil,Fun Foods,Cooking Oil,liter
ACI Cool Beverage 146g,Beverage,ACI Cool,Drinks,g
Dettol Television 197g,Television,Dettol,Cooking Oil,ml
Fresh Shampoo 61g,Shampoo,Fresh,Bakery,piece
Walton Flour 436g,Flour,Walton,Snacks,pack
Fun Foods Mobile 34g,Mobile,Fun Foods,Electronics,liter
Nihar Flour 54g,Flour,Nihar,Dairy,ml
Teer Soap 155g,Soap,Teer,Dairy,ml
Parachute Sugar 94g,Sugar,Parachute,Clothing,piece
Nihar Spice 396g,Spice,Nihar,Grocery,ml
Fun Foods Lentils 194g,Lentils,Fun Foods,Snacks,piece
Parachute Rice 70g,Rice,Parachute,Grocery,piece
Walton Detergent 44g,Detergent,Walton,Drinks,pack
Radhuni Mobile 293g,Mobile,Radhuni,Electronics,liter
Radhuni Mobile 342g,Mobile,Radhuni,Electronics,liter
Radhuni Toothpaste 25g,Toothpaste,Radhuni,Home Appliances,kg
Pran Television 203g,Television,Pran,Grocery,liter
Nihar Detergent 25g,Detergent,Nihar,Clothing,ml
Pran Biscuits 241g,Biscuits,Pran,Personal Care,ml
Closeup Coffee 472g,Coffee,Closeup,Snacks,pack
Fun Foods Mobile 386g,Mobile,Fun Foods,Snacks,ml
Fresh Oil 112g,Oil,Fresh,Home Appliances,piece
Square Biscuits 349g,Biscuits,Square,Stationery,liter
Nihar Food 144g,Food,Nihar,Drinks,piece
Parachute Beverage 483g,Beverage,Parachute,Spices,pack
ACI Shampoo 371g,Shampoo,ACI,Snacks,piece
Unilever Refrigerator 26g,Refrigerator,Unilever,Dairy,kg
ACI Cool Tea 338g,Tea,ACI Cool,Grocery,kg
ACI Cool Mobile 344g,Mobile,ACI Cool,Drinks,pack
Closeup Soap 318g,Soap,Closeup,Cooking Oil,liter
Parachute Soap 313g,Soap,Parachute,Drinks,kg
Teer Biscuits 174g,Biscuits,Teer,Cooking Oil,g
Nihar Detergent 53g,Detergent,Nihar,Dairy,pack
Pran Mobile 48g,Mobile,Pran,Clothing,piece
Parachute Dairy 101g,Dairy,Parachute,Home Appliances,ml
ACI Tea 499g,Tea,ACI,Bakery,piece
Unilever Sugar 218g,Sugar,Unilever,Dairy,g
Dettol Television 77g,Television,Dettol,Cooking Oil,liter
Square Coffee 479g,Coffee,Square,Bakery,piece
Radhuni Dairy 199g,Dairy,Radhuni,Personal Care,g
Closeup Oil 373g,Oil,Closeup,Drinks,g
Nihar Dairy 431g,Dairy,Nihar,Grocery,ml
Walton Juice 58g,Juice,Walton,Stationery,g
Square Refrigerator 28g,Refrigerator,Square,Snacks,g
Singer Juice 445g,Juice,Singer,Cooking Oil,liter
Fresh Detergent 6g,Detergent,Fresh,Stationery,pack
Singer Tea 200g,Tea,Singer,Personal Care,liter
Fun Foods Toothpaste 448g,Toothpaste,Fun Foods,Personal Care,piece
Parachute Beverage 313g,Beverage,Parachute,Home Appliances,g
Nihar Dairy 500g,Dairy,Nihar,Cooking Oil,piece
ACI Cool Sugar 325g,Sugar,ACI Cool,Electronics,ml
Dettol Tea 64g,Tea,Dettol,Bakery,ml
Walton Rice 369g,Rice,Walton,Stationery,g
Closeup Spice 351g,Spice,Closeup,Cooking Oil,pack
Square Oil 290g,Oil,Square,Dairy,liter
Closeup Shampoo 254g,Shampoo,Closeup,Electronics,kg
ACI Biscuits 459g,Biscuits,ACI,Bakery,pack
Parachute Television 420g,Television,Parachute,Cooking Oil,ml
Walton Refrigerator 126g,Refrigerator,Walton,Personal Care,ml
Singer Oil 434g,Oil,Singer,Drinks,pack
Teer Lentils 214g,Lentils,Teer,Drinks,kg
Unilever Toothpaste 327g,Toothpaste,Unilever,Snacks,pack
Pran Juice 50g,Juice,Pran,Home Appliances,ml
Unilever Coffee 351g,Coffee,Unilever,Spices,piece
Dettol Oil 473g,Oil,Dettol,Personal Care,g
Fresh Mobile 126g,Mobile,Fresh,Cooking Oil,pack
Fun Foods Beverage 477g,Beverage,Fun Foods,Clothing,liter
Unilever Beverage 249g,Beverage,Unilever,Spices,pack
Unilever Shampoo 321g,Shampoo,Unilever,Personal Care,g
Fun Foods Coffee 351g,Coffee,Fun Foods,Clothing,kg
Closeup Shampoo 362g,Shampoo,Closeup,Drinks,liter
Teer Dairy 68g,Dairy,Teer,Spices,kg
Fresh Shampoo 151g,Shampoo,Fresh,Cooking Oil,pack
Pran Soap 120g,Soap,Pran,Snacks,liter
Singer Tea 106g,Tea,Singer,Drinks,ml
ACI Dairy 332g,Dairy,ACI,Stationery,g
Walton Sugar 236g,Sugar,Walton,Electronics,g
ACI Lentils 244g,Lentils,ACI,Personal Care,liter
Fun Foods Biscuits 47g,Biscuits,Fun Foods,Grocery,piece
Fun Foods Noodles 230g,Noodles,Fun Foods,Electronics,pack
Parachute Soap 482g,Soap,Parachute,Clothing,kg
Fun Foods Soap 469g,Soap,Fun Foods,Electronics,g
Unilever Dairy 146g,Dairy,Unilever,Personal Care,liter
Dettol Soap 138g,Soap,Dettol,Spices,g
Walton Sugar 142g,Sugar,Walton,Electronics,ml
Radhuni Noodles 489g,Noodles,Radhuni,Cooking Oil,kg
Pran Sugar 484g,Sugar,Pran,Grocery,kg
Unilever Toothpaste 473g,Toothpaste,Unilever,Cooking Oil,pack
Nihar Coffee 105g,Coffee,Nihar,Drinks,liter
Singer Detergent 70g,Detergent,Singer,Cooking Oil,g
Radhuni Toothpaste 272g,Toothpaste,Radhuni,Personal Care,liter
Pran Oil 53g,Oil,Pran,Clothing,pack
Closeup Television 376g,Television,Closeup,Personal Care,kg
Parachute Toothpaste 193g,Toothpaste,Parachute,Electronics,liter
Radhuni Food 250g,Food,Radhuni,Grocery,piece
ACI Juice 368g,Juice,ACI,Stationery,pack
Closeup Refrigerator 19g,Refrigerator,Closeup,Stationery,liter
Fun Foods Mobile 341g,Mobile,Fun Foods,Cooking Oil,ml
ACI Spice 48g,Spice,ACI,Stationery,ml
Closeup Shampoo 165g,Shampoo,Closeup,Drinks,piece
Nihar Oil 84g,Oil,Nihar,Grocery,ml
ACI Toothpaste 330g,Toothpaste,ACI,Spices,piece
Fun Foods Rice 412g,Rice,Fun Foods,Spices,kg
Pran Beverage 330g,Beverage,Pran,Electronics,piece
Pran Rice 482g,Rice,Pran,Drinks,piece
Teer Television 347g,Television,Teer,Cooking Oil,liter
Square Flour 164g,Flour,Square,Stationery,piece
Nihar Toothpaste 477g,Toothpaste,Nihar,Snacks,liter
Singer Food 234g,Food,Singer,Grocery,piece
Parachute Rice 311g,Rice,Parachute,Bakery,liter
Square Beverage 224g,Beverage,Square,Snacks,liter
Fresh Mobile 36g,Mobile,Fresh,Drinks,kg
Square Mobile 382g,Mobile,Square,Personal Care,pack
Singer Flour 94g,Flour,Singer,Dairy,ml
Singer Shampoo 385g,Shampoo,Singer,Snacks,ml
Fun Foods Oil 170g,Oil,Fun Foods,Cooking Oil,kg
Walton Toothpaste 382g,Toothpaste,Walton,Snacks,liter
ACI Cool Toothpaste 9g,Toothpaste,ACI Cool,Spices,pack
Teer Tea 452g,Tea,Teer,Dairy,ml
Singer Toothpaste 85g,Toothpaste,Singer,Stationery,liter
Teer Beverage 213g,Beverage,Teer,Bakery,ml
Walton Television 371g,Television,Walton,Spices,liter
Singer Detergent 272g,Detergent,Singer,Electronics,pack
ACI Coffee 288g,Coffee,ACI,Cooking Oil,piece
Singer Noodles 398g,Noodles,Singer,Electronics,kg
Walton Sugar 493g,Sugar,Walton,Grocery,g
Pran Detergent 400g,Detergent,Pran,Stationery,liter
Unilever Biscuits 120g,Biscuits,Unilever,Spices,ml
Pran Flour 53g,Flour,Pran,Snacks,ml
Closeup Sugar 442g,Sugar,Closeup,Bakery,kg
ACI Cool Noodles 127g,Noodles,ACI Cool,Drinks,g
Nihar Lentils 111g,Lentils,Nihar,Cooking Oil,piece
Teer Beverage 327g,Beverage,Teer,Stationery,g
Pran Mobile 271g,Mobile,Pran,Grocery,ml
Walton Sugar 351g,Sugar,Walton,Home Appliances,ml
Nihar Biscuits 359g,Biscuits,Nihar,Spices,pack
Square Sugar 489g,Sugar,Square,Dairy,kg
Fresh Noodles 295g,Noodles,Fresh,Home Appliances,kg
Radhuni Detergent 487g,Detergent,Radhuni,Clothing,liter
Fun Foods Shampoo 435g,Shampoo,Fun Foods,Dairy,kg
Walton Biscuits 483g,Biscuits,Walton,Grocery,liter
Fun Foods Toothpaste 27g,Toothpaste,Fun Foods,Snacks,g
Pran Refrigerator 113g,Refrigerator,Pran,Drinks,pack
Parachute Refrigerator 225g,Refrigerator,Parachute,Electronics,kg
Square Mobile 258g,Mobile,Square,Grocery,piece
Pran Detergent 255g,Detergent,Pran,Home Appliances,liter
Singer Refrigerator 31g,Refrigerator,Singer,Home Appliances,g
Closeup Shampoo 182g,Shampoo,Closeup,Electronics,piece
Singer Mobile 58g,Mobile,Singer,Grocery,ml
Teer Soap 121g,Soap,Teer,Clothing,ml
Closeup Refrigerator 35g,Refrigerator,Closeup,Bakery,liter
ACI Refrigerator 312g,Refrigerator,ACI,Grocery,ml
Fresh Toothpaste 7g,Toothpaste,Fresh,Drinks,pack
Unilever Biscuits 263g,Biscuits,Unilever,Drinks,ml
Teer Detergent 345g,Detergent,Teer,Spices,pack
Teer Beverage 27g,Beverage,Teer,Electronics,kg
Fun Foods Beverage 481g,Beverage,Fun Foods,Dairy,piece
Teer Rice 428g,Rice,Teer,Bakery,ml
Closeup Tea 47g,Tea,Closeup,Electronics,piece
Fresh Flour 424g,Flour,Fresh,Spices,liter
Fresh Shampoo 375g,Shampoo,Fresh,Grocery,pack
Parachute Tea 470g,Tea,Parachute,Drinks,ml
Fun Foods Biscuits 441g,Biscuits,Fun Foods,Clothing,piece
Closeup Television 381g,Television,Closeup,Cooking Oil,piece
ACI Oil 217g,Oil,ACI,Spices,ml
Closeup Food 31g,Food,Closeup,Stationery,piece
Singer Dairy 406g,Dairy,Singer,Drinks,kg
Teer Refrigerator 434g,Refrigerator,Teer,Home Appliances,piece
Fresh Soap 429g,Soap,Fresh,Drinks,piece
Radhuni Detergent 11g,Detergent,Radhuni,Drinks,piece
Walton Detergent 85g,Detergent,Walton,Dairy,piece
Unilever Television 226g,Television,Unilever,Electronics,piece
ACI Cool Flour 366g,Flour,ACI Cool,Grocery,ml
Closeup Television 449g,Television,Closeup,Drinks,piece
Nihar Soap 80g,Soap,Nihar,Spices,ml
Nihar Noodles 90g,Noodles,Nihar,Clothing,g
Square Flour 265g,Flour,Square,Spices,liter
Parachute Refrigerator 30g,Refrigerator,Parachute,Snacks,piece
ACI Cool Television 285g,Television,ACI Cool,Personal Care,piece
Singer Spice 64g,Spice,Singer,Dairy,liter
Unilever Beverage 245g,Beverage,Unilever,Spices,piece
Teer Mobile 281g,Mobile,Teer,Clothing,liter
Radhuni Juice 148g,Juice,Radhuni,Spices,g
Square Noodles 131g,Noodles,Square,Cooking Oil,g
ACI Cool Beverage 91g,Beverage,ACI Cool,Drinks,ml
ACI Refrigerator 47g,Refrigerator,ACI,Personal Care,piece
Pran Sugar 32g,Sugar,Pran,Drinks,liter
Fun Foods Television 40g,Television,Fun Foods,Bakery,g
Radhuni Noodles 392g,Noodles,Radhuni,Drinks,ml
Fresh Coffee 139g,Coffee,Fresh,Personal Care,pack
Nihar Biscuits 448g,Biscuits,Nihar,Snacks,pack
ACI Juice 348g,Juice,ACI,Grocery,pack
Parachute Television 402g,Television,Parachute,Cooking Oil,kg
Nihar Noodles 24g,Noodles,Nihar,Dairy,g
Dettol Tea 360g,Tea,Dettol,Dairy,g
Singer Oil 166g,Oil,Singer,Electronics,piece
Square Spice 366g,Spice,Square,Drinks,g
Teer Shampoo 343g,Shampoo,Teer,Electronics,kg
Parachute Oil 166g,Oil,Parachute,Cooking Oil,kg
Dettol Tea 423g,Tea,Dettol,Electronics,kg
Singer Shampoo 428g,Shampoo,Singer,Electronics,g
ACI Flour 480g,Flour,ACI,Bakery,g
Fun Foods Dairy 133g,Dairy,Fun Foods,Electronics,liter
Pran Toothpaste 31g,Toothpaste,Pran,Dairy,liter
Nihar Food 326g,Food,Nihar,Personal Care,kg
Closeup Coffee 478g,Coffee,Closeup,Snacks,liter
ACI Cool Oil 183g,Oil,ACI Cool,Snacks,pack
Square Detergent 439g,Detergent,Square,Dairy,ml
Square Toothpaste 102g,Toothpaste,Square,Bakery,kg
Square Flour 155g,Flour,Square,Grocery,kg
Closeup Flour 290g,Flour,Closeup,Spices,piece
Parachute Flour 154g,Flour,Parachute,Cooking Oil,kg
Fresh Shampoo 468g,Shampoo,Fresh,Dairy,pack
Walton Toothpaste 488g,Toothpaste,Walton,Bakery,pack
Singer Shampoo 26g,Shampoo,Singer,Snacks,pack
Radhuni Coffee 50g,Coffee,Radhuni,Spices,kg
Fun Foods Rice 90g,Rice,Fun Foods,Spices,piece
ACI Rice 128g,Rice,ACI,Cooking Oil,kg
Singer Coffee 415g,Coffee,Singer,Stationery,liter
Fun Foods Mobile 268g,Mobile,Fun Foods,Personal Care,ml
Dettol Dairy 311g,Dairy,Dettol,Dairy,g
Radhuni Refrigerator 324g,Refrigerator,Radhuni,Bakery,pack
Parachute Coffee 261g,Coffee,Parachute,Electronics,pack
Parachute Mobile 295g,Mobile,Parachute,Personal Care,ml
ACI Noodles 90g,Noodles,ACI,Personal Care,g
Nihar Sugar 40g,Sugar,Nihar,Spices,piece
Dettol Rice 357g,Rice,Dettol,Home Appliances,kg
Square Flour 157g,Flour,Square,Drinks,ml
Fresh Lentils 337g,Lentils,Fresh,Grocery,g
Square Sugar 289g,Sugar,Square,Bakery,liter
Square Beverage 200g,Beverage,Square,Electronics,g
Fun Foods Refrigerator 239g,Refrigerator,Fun Foods,Spices,g
Closeup Beverage 388g,Beverage,Closeup,Clothing,piece
Nihar Flour 203g,Flour,Nihar,Personal Care,piece
Fresh Television 259g,Television,Fresh,Cooking Oil,piece
Fresh Coffee 489g,Coffee,Fresh,Clothing,ml
Pran Toothpaste 77g,Toothpaste,Pran,Personal Care,ml
Nihar Refrigerator 155g,Refrigerator,Nihar,Home Appliances,g
Fresh Beverage 469g,Beverage,Fresh,Drinks,ml
ACI Cool Flour 386g,Flour,ACI Cool,Dairy,ml
Walton Flour 1g,Flour,Walton,Drinks,kg
ACI Cool Coffee 12g,Coffee,ACI Cool,Cooking Oil,ml
Square Spice 471g,Spice,Square,Bakery,ml
Fun Foods Biscuits 246g,Biscuits,Fun Foods,Personal Care,g
Fun Foods Rice 290g,Rice,Fun Foods,Personal Care,ml
Fresh Shampoo 366g,Shampoo,Fresh,Spices,kg
Singer Sugar 332g,Sugar,Singer,Personal Care,ml
Fresh Dairy 378g,Dairy,Fresh,Cooking Oil,ml
Teer Dairy 63g,Dairy,Teer,Cooking Oil,kg
Nihar Food 71g,Food,Nihar,Stationery,ml
Teer Refrigerator 113g,Refrigerator,Teer,Spices,g
ACI Cool Soap 285g,Soap,ACI Cool,Snacks,ml
Fun Foods Food 272g,Food,Fun Foods,Drinks,piece
Closeup Biscuits 269g,Biscuits,Closeup,Bakery,piece
Fun Foods Juice 266g,Juice,Fun Foods,Drinks,g
Parachute Oil 11g,Oil,Parachute,Dairy,pack
Unilever Television 213g,Television,Unilever,Personal Care,kg
Teer Lentils 109g,Lentils,Teer,Spices,piece
Walton Dairy 59g,Dairy,Walton,Clothing,pack
Pran Sugar 354g,Sugar,Pran,Spices,liter
Radhuni Soap 43g,Soap,Radhuni,Cooking Oil,g
Fun Foods Soap 156g,Soap,Fun Foods,Stationery,liter
Singer Tea 492g,Tea,Singer,Bakery,liter
Radhuni Toothpaste 120g,Toothpaste,Radhuni,Clothing,pack
Singer Mobile 133g,Mobile,Singer,Snacks,kg
Nihar Shampoo 148g,Shampoo,Nihar,Drinks,g
Pran Toothpaste 149g,Toothpaste,Pran,Snacks,pack
ACI Cool Detergent 409g,Detergent,ACI Cool,Electronics,g
Square Dairy 6g,Dairy,Square,Spices,liter
ACI Oil 208g,Oil,ACI,Drinks,ml
ACI Cool Food 214g,Food,ACI Cool,Snacks,piece
Pran Tea 166g,Tea,Pran,Clothing,piece
Parachute Refrigerator 139g,Refrigerator,Parachute,Spices,liter
Fun Foods Spice 67g,Spice,Fun Foods,Electronics,pack
Unilever Television 454g,Television,Unilever,Spices,g
Singer Beverage 41g,Beverage,Singer,Home Appliances,kg
Walton Juice 225g,Juice,Walton,Drinks,liter
Dettol Soap 123g,Soap,Dettol,Bakery,piece
Closeup Detergent 315g,Detergent,Closeup,Grocery,g
Fresh Detergent 385g,Detergent,Fresh,Dairy,g
Unilever Lentils 108g,Lentils,Unilever,Dairy,kg
Fun Foods Beverage 44g,Beverage,Fun Foods,Grocery,liter
Singer Biscuits 274g,Biscuits,Singer,Electronics,liter
Singer Juice 295g,Juice,Singer,Spices,liter
Radhuni Dairy 352g,Dairy,Radhuni,Cooking Oil,liter
Teer Shampoo 375g,Shampoo,Teer,Bakery,piece
Fresh Mobile 473g,Mobile,Fresh,Personal Care,liter
ACI Cool Rice 113g,Rice,ACI Cool,Home Appliances,piece
Walton Tea 462g,Tea,Walton,Drinks,ml
Walton Shampoo 329g,Shampoo,Walton,Stationery,g
Radhuni Lentils 488g,Lentils,Radhuni,Grocery,piece
Singer Flour 425g,Flour,Singer,Home Appliances,kg
Radhuni Toothpaste 407g,Toothpaste,Radhuni,Spices,piece
Fun Foods Detergent 272g,Detergent,Fun Foods,Dairy,ml
Radhuni Spice 44g,Spice,Radhuni,Dairy,pack
Fresh Television 201g,Television,Fresh,Grocery,liter
Teer Spice 427g,Spice,Teer,Spices,pack
Singer Tea 128g,Tea,Singer,Personal Care,pack
Fun Foods Spice 164g,Spice,Fun Foods,Clothing,g
Fresh Tea 24g,Tea,Fresh,Electronics,g
ACI Cool Tea 490g,Tea,ACI Cool,Stationery,pack
Pran Noodles 414g,Noodles,Pran,Electronics,pack
Pran Television 488g,Television,Pran,Snacks,liter
Walton Sugar 218g,Sugar,Walton,Grocery,kg
Fun Foods Sugar 381g,Sugar,Fun Foods,Dairy,pack
Fun Foods Soap 116g,Soap,Fun Foods,Stationery,kg
Walton Lentils 277g,Lentils,Walton,Dairy,liter
Fun Foods Biscuits 12g,Biscuits,Fun Foods,Clothing,kg
Radhuni Food 404g,Food,Radhuni,Clothing,ml
Dettol Juice 222g,Juice,Dettol,Grocery,piece
Closeup Soap 395g,Soap,Closeup,Snacks,pack
Fresh Food 367g,Food,Fresh,Bakery,kg
Walton Shampoo 249g,Shampoo,Walton,Spices,pack
Unilever Refrigerator 496g,Refrigerator,Unilever,Grocery,kg
Unilever Flour 110g,Flour,Unilever,Dairy,g
Teer Soap 18g,Soap,Teer,Drinks,g
Unilever Beverage 248g,Beverage,Unilever,Home Appliances,kg
ACI Detergent 156g,Detergent,ACI,Cooking Oil,g
Dettol Lentils 31g,Lentils,Dettol,Drinks,ml
Radhuni Lentils 105g,Lentils,Radhuni,Stationery,g
Nihar Biscuits 180g,Biscuits,Nihar,Dairy,liter
ACI Cool Shampoo 386g,Shampoo,ACI Cool,Spices,pack
Fresh Juice 221g,Juice,Fresh,Bakery,g
ACI Cool Spice 242g,Spice,ACI Cool,Bakery,kg
ACI Cool Rice 103g,Rice,ACI Cool,Cooking Oil,kg
Teer Detergent 115g,Detergent,Teer,Snacks,kg
ACI Cool Shampoo 129g,Shampoo,ACI Cool,Bakery,liter
Singer Rice 202g,Rice,Singer,Electronics,liter
Radhuni Toothpaste 318g,Toothpaste,Radhuni,Home Appliances,kg
Fun Foods Sugar 376g,Sugar,Fun Foods,Spices,liter
Walton Biscuits 224g,Biscuits,Walton,Dairy,piece
Unilever Rice 79g,Rice,Unilever,Grocery,kg
Pran Biscuits 495g,Biscuits,Pran,Personal Care,kg
Nihar Tea 148g,Tea,Nihar,Clothing,piece
Square Juice 193g,Juice,Square,Snacks,ml
Square Lentils 210g,Lentils,Square,Electronics,g
ACI Cool Television 294g,Television,ACI Cool,Home Appliances,piece
Parachute Dairy 297g,Dairy,Parachute,Clothing,kg
ACI Cool Tea 134g,Tea,ACI Cool,Electronics,liter
Parachute Detergent 55g,Detergent,Parachute,Drinks,g
Unilever Shampoo 417g,Shampoo,Unilever,Stationery,piece
Singer Sugar 315g,Sugar,Singer,Electronics,ml
Singer Mobile 373g,Mobile,Singer,Dairy,g
Walton Beverage 245g,Beverage,Walton,Drinks,kg
Unilever Oil 42g,Oil,Unilever,Dairy,pack
Closeup Mobile 490g,Mobile,Closeup,Home Appliances,g
Unilever Flour 202g,Flour,Unilever,Clothing,g
Radhuni Flour 354g,Flour,Radhuni,Spices,ml
Fresh Juice 134g,Juice,Fresh,Dairy,pack
Fresh Beverage 113g,Beverage,Fresh,Electronics,liter
Closeup Television 327g,Television,Closeup,Snacks,ml
Square Tea 105g,Tea,Square,Drinks,liter
Square Refrigerator 361g,Refrigerator,Square,Electronics,liter
Dettol Soap 472g,Soap,Dettol,Electronics,liter
Teer Beverage 3g,Beverage,Teer,Dairy,kg
Radhuni Toothpaste 250g,Toothpaste,Radhuni,Cooking Oil,kg
Pran Refrigerator 274g,Refrigerator,Pran,Grocery,kg
Fun Foods Rice 462g,Rice,Fun Foods,Dairy,piece
Fun Foods Soap 76g,Soap,Fun Foods,Snacks,ml
Closeup Refrigerator 495g,Refrigerator,Closeup,Snacks,g
Dettol Soap 98g,Soap,Dettol,Snacks,piece
ACI Cool Rice 126g,Rice,ACI Cool,Bakery,pack
Singer Juice 455g,Juice,Singer,Spices,piece
Unilever Spice 131g,Spice,Unilever,Drinks,piece
ACI Noodles 472g,Noodles,ACI,Cooking Oil,kg
ACI Spice 74g,Spice,ACI,Personal Care,liter
Closeup Detergent 70g,Detergent,Closeup,Personal Care,pack
Radhuni Spice 143g,Spice,Radhuni,Clothing,pack
Dettol Noodles 33g,Noodles,Dettol,Dairy,kg
Radhuni Beverage 41g,Beverage,Radhuni,Stationery,kg
Teer Shampoo 64g,Shampoo,Teer,Electronics,g
Pran Juice 430g,Juice,Pran,Clothing,g
Nihar Rice 324g,Rice,Nihar,Grocery,liter
Dettol Flour 348g,Flour,Dettol,Stationery,liter
Fresh Food 90g,Food,Fresh,Clothing,kg
Parachute Juice 439g,Juice,Parachute,Bakery,liter
Nihar Dairy 271g,Dairy,Nihar,Drinks,liter
Parachute Mobile 159g,Mobile,Parachute,Electronics,g
Fresh Lentils 232g,Lentils,Fresh,Personal Care,ml
Fresh Oil 5g,Oil,Fresh,Home Appliances,kg
Teer Biscuits 429g,Biscuits,Teer,Snacks,pack
ACI Soap 204g,Soap,ACI,Personal Care,kg
Singer Tea 35g,Tea,Singer,Spices,pack
Singer Detergent 496g,Detergent,Singer,Cooking Oil,pack
Closeup Rice 226g,Rice,Closeup,Clothing,kg
ACI Cool Tea 323g,Tea,ACI Cool,Cooking Oil,liter
ACI Cool Rice 295g,Rice,ACI Cool,Drinks,liter
Walton Detergent 420g,Detergent,Walton,Bakery,pack
Dettol Television 412g,Television,Dettol,Grocery,pack
Dettol Detergent 23g,Detergent,Dettol,Cooking Oil,ml
ACI Cool Coffee 250g,Coffee,ACI Cool,Personal Care,kg
Fun Foods Shampoo 281g,Shampoo,Fun Foods,Stationery,pack
Nihar Refrigerator 465g,Refrigerator,Nihar,Cooking Oil,ml
Nihar Juice 137g,Juice,Nihar,Home Appliances,liter
Radhuni Mobile 105g,Mobile,Radhuni,Grocery,piece
Fun Foods Coffee 243g,Coffee,Fun Foods,Cooking Oil,piece
Parachute Mobile 116g,Mobile,Parachute,Dairy,pack
Dettol Tea 386g,Tea,Dettol,Clothing,piece
Closeup Rice 102g,Rice,Closeup,Electronics,g
Pran Oil 343g,Oil,Pran,Cooking Oil,g
Fun Foods Oil 327g,Oil,Fun Foods,Clothing,pack
Unilever Food 224g,Food,Unilever,Clothing,g
Walton Spice 119g,Spice,Walton,Cooking Oil,piece
ACI Cool Juice 219g,Juice,ACI Cool,Bakery,liter
Dettol Television 445g,Television,Dettol,Dairy,kg
Square Biscuits 468g,Biscuits,Square,Grocery,g
Pran Flour 249g,Flour,Pran,Spices,ml
ACI Cool Mobile 45g,Mobile,ACI Cool,Drinks,pack
Unilever Refrigerator 25g,Refrigerator,Unilever,Dairy,ml
Fresh Rice 420g,Rice,Fresh,Cooking Oil,liter
Nihar Toothpaste 325g,Toothpaste,Nihar,Personal Care,kg
Square Tea 259g,Tea,Square,Electronics,ml
Nihar Coffee 391g,Coffee,Nihar,Grocery,pack
Fun Foods Biscuits 316g,Biscuits,Fun Foods,Spices,pack
Pran Rice 182g,Rice,Pran,Electronics,kg
Singer Tea 286g,Tea,Singer,Home Appliances,g
Pran Food 304g,Food,Pran,Grocery,g
Unilever Oil 123g,Oil,Unilever,Personal Care,kg
Dettol Food 259g,Food,Dettol,Drinks,g
Teer Sugar 493g,Sugar,Teer,Snacks,g
Parachute Dairy 403g,Dairy,Parachute,Cooking Oil,kg
Pran Flour 448g,Flour,Pran,Electronics,ml
Teer Tea 70g,Tea,Teer,Home Appliances,liter
ACI Juice 1g,Juice,ACI,Spices,pack
Radhuni Beverage 496g,Beverage,Radhuni,Electronics,pack
Walton Flour 263g,Flour,Walton,Dairy,kg
ACI Cool Shampoo 185g,Shampoo,ACI Cool,Stationery,kg
Unilever Biscuits 414g,Biscuits,Unilever,Spices,ml
Pran Lentils 175g,Lentils,Pran,Stationery,ml
Fresh Spice 489g,Spice,Fresh,Stationery,kg
Teer Dairy 103g,Dairy,Teer,Grocery,pack
Radhuni Detergent 473g,Detergent,Radhuni,Personal Care,piece
Pran Coffee 410g,Coffee,Pran,Personal Care,ml
Dettol Shampoo 331g,Shampoo,Dettol,Spices,piece
Singer Coffee 411g,Coffee,Singer,Dairy,piece
Teer Dairy 280g,Dairy,Teer,Dairy,liter
Teer Biscuits 179g,Biscuits,Teer,Grocery,g
Fun Foods Spice 46g,Spice,Fun Foods,Drinks,g
Pran Toothpaste 237g,Toothpaste,Pran,Electronics,piece
ACI Cool Beverage 387g,Beverage,ACI Cool,Stationery,g
Radhuni Detergent 53g,Detergent,Radhuni,Personal Care,g
